SamAccountName,DisplayName,EmployeeID,Department,AccountType,Enabled,WhenCreated,LastLogonDate,PasswordLastSet,PrivilegedGroup,MFAEnrolled
enelson2,"Nelson, Emily",E102862,Finance,User,FALSE,03/16/2021,03/29/2025,06/22/2025,,TRUE
randersson2,"Andersson, Rebecca",E101427,Engineering,User,TRUE,10/13/2025,07/23/2026,08/15/2026,,TRUE
sallen,"Allen, Sarah",E100966,Marketing,User,TRUE,02/12/2026,07/19/2026,02/12/2026,,TRUE
eandersson,"Andersson, Elena",E105005,Operations,User,TRUE,09/12/2015,07/05/2026,07/08/2026,,TRUE
edubois,"Dubois, Elizabeth",E101364,Marketing,User,TRUE,05/23/2009,07/19/2026,07/20/2026,,TRUE
mwilson,"Wilson, Michael",E104426,Engineering,User,TRUE,05/20/2011,07/26/2026,07/17/2026,,TRUE
crobinson,"Robinson, Charles",E100271,Marketing,User,TRUE,01/05/2023,08/06/2026,08/13/2026,,TRUE
eadams,"Adams, Elena",E100668,Finance,User,TRUE,12/14/2021,07/06/2026,05/31/2026,Firewall_Admins,TRUE
jmartinez,"Martinez, James",E104694,Sales,User,TRUE,06/07/2014,03/03/2025,04/13/2026,,TRUE
slee,"Lee, Sandra",E103667,Human Resources,User,TRUE,04/19/2017,07/18/2026,07/22/2026,,TRUE
rmitchell,"Mitchell, Rebecca",E105207,Sales,User,TRUE,06/03/2012,07/27/2026,08/24/2026,,TRUE
svc_scanner01,Service - Scan to Folder,,Information Technology,Service,TRUE,07/21/2019,07/13/2026,11/01/2019,,FALSE
nadams,"Adams, Nancy",E104988,Operations,User,TRUE,02/21/2020,07/20/2026,09/30/2023,,TRUE
wrobinson,"Robinson, Wei",E100175,Engineering,User,TRUE,03/27/2017,08/19/2026,06/11/2026,,TRUE
rgreen,"Green, Richard",E102665,Legal & Compliance,User,TRUE,04/22/2025,08/25/2026,07/22/2026,,TRUE
aflores2,"Flores, Ashley",E103313,Information Technology,User,FALSE,10/05/2013,05/29/2024,05/21/2026,,TRUE
kallen,"Allen, Kenneth",E100468,Information Technology,User,TRUE,03/30/2011,07/19/2026,04/18/2026,ERP_Superuser,FALSE
nthompson2,"Thompson, Nia",E102368,Human Resources,User,TRUE,02/03/2011,08/29/2026,06/02/2026,,TRUE
dramirez2,"Ramirez, Deborah",E102629,Operations,User,TRUE,05/02/2021,08/06/2026,08/18/2026,,TRUE
jjackson,"Jackson, Joseph",E101588,Operations,User,TRUE,03/20/2015,08/06/2026,06/23/2026,Server Operators,FALSE
asilva,"Silva, Ashley",E100698,Operations,User,FALSE,06/06/2010,10/08/2024,07/04/2026,,TRUE
mking,"King, Melissa",E104907,Information Technology,User,TRUE,11/04/2020,08/07/2026,05/10/2026,,TRUE
brossi,"Rossi, Betty",E101350,Sales,User,TRUE,06/02/2011,03/26/2026,05/10/2026,,TRUE
pjones,"Jones, Priya",E101958,Information Technology,User,TRUE,05/12/2022,07/11/2024,04/11/2026,Server Operators,TRUE
krobinson,"Robinson, Karen",E101293,Sales,User,TRUE,04/15/2021,07/27/2026,06/17/2026,,FALSE
aadams3,"Adams, Amanda",E105320,Operations,User,FALSE,01/12/2023,05/05/2024,06/20/2026,,TRUE
slopez2,"Lopez, Sarah",E105277,Engineering,User,TRUE,08/12/2012,08/17/2026,03/16/2026,,TRUE
ahall2,"Hall, Amanda",E104665,Sales,User,TRUE,06/30/2009,08/15/2026,06/17/2026,,TRUE
ryoung2,"Young, Richard",E101790,Information Technology,User,TRUE,09/01/2009,07/09/2026,05/06/2024,Firewall_Admins,TRUE
mandersson2,"Andersson, Margaret",E103111,Sales,User,TRUE,11/18/2019,08/02/2026,06/30/2026,,TRUE
pnelson,"Nelson, Priya",E101019,Legal & Compliance,User,TRUE,09/12/2011,07/25/2026,08/11/2026,,TRUE
sclark,"Clark, Sofia",E103331,Human Resources,User,TRUE,10/22/2022,07/23/2026,07/23/2026,,FALSE
chernandez,"Hernandez, Chloe",E103505,Engineering,User,FALSE,10/03/2025,07/29/2026,06/08/2026,,TRUE
amartin,"Martin, Amanda",E101947,Engineering,User,FALSE,10/02/2023,08/12/2026,08/19/2024,,TRUE
aallen,"Allen, Anthony",E103701,Human Resources,User,TRUE,06/24/2010,07/03/2026,06/24/2026,,TRUE
dflores,"Flores, Diego",E101380,Engineering,User,TRUE,12/30/2016,08/28/2026,08/13/2026,,TRUE
emoore,"Moore, Elena",E102445,Operations,User,TRUE,03/18/2014,10/17/2025,12/02/2022,,TRUE
bhill,"Hill, Brian",E100994,Operations,User,FALSE,05/25/2024,07/14/2026,06/01/2026,,TRUE
etorres,"Torres, Elizabeth",E103212,Engineering,User,TRUE,02/27/2010,07/18/2026,03/03/2026,,TRUE
mwalker,"Walker, Maria",E101853,Finance,User,TRUE,05/06/2025,07/24/2026,06/25/2026,,TRUE
jjones,"Jones, Jennifer",E103465,Engineering,User,TRUE,08/15/2009,08/10/2026,07/12/2026,,TRUE
abaker,"Baker, Andrew",E102786,Information Technology,User,TRUE,07/20/2014,07/22/2026,03/06/2026,Server Operators,TRUE
