EmployeeID,LastName,FirstName,Department,JobTitle,Location,HireDate,TerminationDate,EmploymentStatus
E100007,Allen,Joseph,Information Technology,IT Manager,Remote - US,02/25/2012,,Active
E100023,Robinson,Donald,Engineering,Software Engineer I,Remote - US,04/22/2022,,Active
E100039,Gonzalez,Tomas,Engineering,DevOps Engineer,Remote - US,08/28/2020,,Active
E100052,Nguyen,Luca,Operations,Operations Manager,Austin TX,11/29/2016,,Active
E100058,Young,Joshua,Information Technology,Cloud Engineer,Columbus OH,10/18/2021,,Active
E100076,Kimura,Kevin,Information Technology,IT Manager,Remote - US,01/19/2012,,Active
E100082,Campbell,Andrew,Engineering,Software Engineer I,Remote - US,07/31/2009,,Active
E100099,Nguyen,Brian,Engineering,DevOps Engineer,Toronto ON,01/13/2025,,Active
E100115,Lewis,Luca,Engineering,Software Engineer II,Austin TX,04/08/2012,,Active
E100134,Perez,Wei,Finance,Staff Accountant,Remote - US,07/06/2015,07/28/2025,Terminated
E100149,Lee,Nia,Marketing,Content Strategist,Columbus OH,11/07/2018,,Active
E100156,Gonzalez,Joseph,Engineering,Engineering Manager,Remote - US,02/05/2019,,Active
E100175,Robinson,Wei,Engineering,QA Engineer,Toronto ON,03/28/2017,,Active
E100192,Silva,Donna,Operations,Warehouse Supervisor,Remote - US,07/03/2024,,Active
E100209,Hall,Kenneth,Sales,Regional Sales Manager,Columbus OH,02/20/2012,,Active
E100215,Lopez,Kimberly,Legal & Compliance,Contracts Manager,Toronto ON,07/27/2021,,Active
E100227,Haddad,Sarah,Customer Service,Support Representative,Columbus OH,07/04/2012,05/09/2026,Terminated
E100244,Nelson,Donald,Operations,Logistics Coordinator,Austin TX,02/18/2021,,Active
E100252,Hernandez,Diego,Finance,AP Specialist,Toronto ON,10/03/2015,,Active
E100262,Brown,Paul,Marketing,Demand Gen Manager,Toronto ON,01/16/2020,,Active
E100268,Scott,Christopher,Sales,Regional Sales Manager,Columbus OH,04/23/2022,05/11/2024,Terminated
E100271,Robinson,Charles,Marketing,Brand Manager,Manila PH,12/28/2022,,Active
E100280,Lopez,Mateo,Finance,Financial Analyst,Toronto ON,01/18/2019,,Active
E100294,Robinson,George,Information Technology,Network Engineer,Columbus OH,03/11/2010,,Active
E100302,Rodriguez,Daniel,Information Technology,Security Analyst,Toronto ON,07/18/2016,,Active
E100309,Young,Anika,Information Technology,Security Analyst,Manila PH,02/29/2024,,Active
E100315,Torres,Donna,Marketing,Demand Gen Manager,Manila PH,10/30/2023,,Active
E100325,Smith,Emily,Marketing,Marketing Coordinator,Remote - US,06/13/2017,06/28/2024,Terminated
E100338,Walker,Ravi,Finance,AP Specialist,Toronto ON,02/27/2016,,Active
E100347,Clark,Paul,Sales,Sales Development Rep,Columbus OH,09/01/2023,,Active
E100365,Ramirez,Margaret,Customer Service,Support Representative,Columbus OH,03/05/2018,,Active
E100369,Davis,Sofia,Marketing,Marketing Coordinator,Toronto ON,10/27/2021,02/15/2026,Terminated
E100373,Hernandez,Steven,Engineering,Engineering Manager,Columbus OH,09/20/2013,,Active
E100384,Ramirez,Donald,Operations,Operations Manager,Remote - US,08/27/2024,,Active
E100397,Thompson,Rebecca,Legal & Compliance,Paralegal,Columbus OH,10/06/2019,,Active
E100401,Martin,Ravi,Information Technology,Network Engineer,Columbus OH,05/09/2019,07/07/2026,Terminated
E100419,Haddad,Mark,Engineering,Software Engineer II,Remote - US,11/30/2011,,Active
E100426,Anderson,Deborah,Engineering,DevOps Engineer,Remote - US,08/26/2018,,Active
